Date,Year,Month,Production,Storage,Unit
2010-08-01,2010,8,3200.0,636.49,Million Pounds
2010-07-01,2010,7,3057.7,634.82,Million Pounds
2010-06-01,2010,6,3139.7,663.52,Million Pounds
2010-05-01,2010,5,3020.0,607.54,Million Pounds
2010-04-01,2010,4,3038.3,596.09,Million Pounds
2010-03-01,2010,3,3162.0,607.25,Million Pounds
2010-02-01,2010,2,2739.5,610.82,Million Pounds
2010-01-01,2010,1,2831.2,615.92,Million Pounds
2009-12-01,2009,12,2966.2,640.35,Million Pounds
2009-11-01,2009,11,2788.8,613.44,Million Pounds
2009-10-01,2009,10,3071.9,613.05,Million Pounds
2009-09-01,2009,9,3064.3,626.03,Million Pounds
2009-08-01,2009,8,3012.1,661.69,Million Pounds
2009-07-01,2009,7,3095.5,632.63,Million Pounds
2009-06-01,2009,6,3050.6,622.64,Million Pounds
2009-05-01,2009,5,2890.4,640.98,Million Pounds
2009-04-01,2009,4,2997.7,619.85,Million Pounds
2009-03-01,2009,3,2997.0,630.62,Million Pounds
2009-02-01,2009,2,2704.3,676.54,Million Pounds
2009-01-01,2009,1,2871.6,744.99,Million Pounds
2008-12-01,2008,12,2931.5,788.45,Million Pounds
2008-11-01,2008,11,2662.7,760.29,Million Pounds
2008-10-01,2008,10,3270.6,728.47,Million Pounds
2008-09-01,2008,9,3149.7,719.88,Million Pounds
2008-08-01,2008,8,3080.5,708.59,Million Pounds
2008-07-01,2008,7,3226.7,739.2,Million Pounds
2008-06-01,2008,6,3077.3,724.61,Million Pounds
2008-05-01,2008,5,3165.4,727.54,Million Pounds
2008-04-01,2008,4,3196.6,746.64,Million Pounds
2008-03-01,2008,3,2981.6,742.75,Million Pounds
2008-02-01,2008,2,2926.5,752.21,Million Pounds
2008-01-01,2008,1,3237.2,718.8,Million Pounds
2007-12-01,2007,12,2901.4,692.29,Million Pounds
2007-11-01,2007,11,3033.2,668.73,Million Pounds
2007-10-01,2007,10,3383.8,629.07,Million Pounds
2007-09-01,2007,9,2894.7,623.7,Million Pounds
2007-08-01,2007,8,3181.2,637.12,Million Pounds
2007-07-01,2007,7,3055.0,619.17,Million Pounds
2007-06-01,2007,6,3027.0,590.58,Million Pounds
2007-05-01,2007,5,3171.8,584.14,Million Pounds
2007-04-01,2007,4,2885.4,580.96,Million Pounds
2007-03-01,2007,3,2927.8,600.89,Million Pounds
2007-02-01,2007,2,2667.9,659.11,Million Pounds
2007-01-01,2007,1,3029.8,732.31,Million Pounds
2006-12-01,2006,12,2737.8,670.6,Million Pounds
2006-11-01,2006,11,2912.3,696.74,Million Pounds
2006-10-01,2006,10,3185.1,685.76,Million Pounds
2006-09-01,2006,9,2900.6,685.02,Million Pounds
2006-08-01,2006,8,3133.9,704.33,Million Pounds
2006-07-01,2006,7,2836.0,760.52,Million Pounds
2006-06-01,2006,6,3046.9,753.17,Million Pounds
2006-05-01,2006,5,3158.6,817.58,Million Pounds
2006-04-01,2006,4,2774.4,854.27,Million Pounds
2006-03-01,2006,3,3098.5,910.92,Million Pounds
2006-02-01,2006,2,2713.9,907.97,Million Pounds
2006-01-01,2006,1,3001.6,910.45,Million Pounds
2005-12-01,2005,12,2916.8,859.0,Million Pounds
2005-11-01,2005,11,2942.2,791.32,Million Pounds
2005-10-01,2005,10,3044.7,742.85,Million Pounds
2005-09-01,2005,9,3011.1,695.65,Million Pounds
2005-08-01,2005,8,3113.3,710.33,Million Pounds
2005-07-01,2005,7,2814.3,675.93,Million Pounds
2005-06-01,2005,6,3055.4,652.86,Million Pounds
2005-05-01,2005,5,3023.2,678.78,Million Pounds
2005-04-01,2005,4,2855.4,657.93,Million Pounds
2005-03-01,2005,3,3036.4,620.29,Million Pounds
2005-02-01,2005,2,2667.9,630.09,Million Pounds
2005-01-01,2005,1,2884.1,701.79,Million Pounds
2004-12-01,2004,12,2836.9,747.64,Million Pounds
2004-11-01,2004,11,2796.9,779.82,Million Pounds
2004-10-01,2004,10,2903.6,758.93,Million Pounds
2004-09-01,2004,9,2974.1,704.19,Million Pounds
2004-08-01,2004,8,2989.5,706.04,Million Pounds
2004-07-01,2004,7,2875.8,748.86,Million Pounds
2004-06-01,2004,6,2906.4,642.81,Million Pounds
2004-05-01,2004,5,2771.4,621.98,Million Pounds
2004-04-01,2004,4,2814.2,581.75,Million Pounds
2004-03-01,2004,3,2903.2,522.8,Million Pounds
2004-02-01,2004,2,2467.8,520.17,Million Pounds
2004-01-01,2004,1,2823.6,596.83,Million Pounds
2003-12-01,2003,12,2763.6,557.8,Million Pounds
